,Actual,Predicted
0,3.11,2.843107
1,3.04,3.2747207
2,2.9899999999999998,3.5308366
3,3.0,5.6003757
4,0.94,0.8447691
5,0.33999999999999997,2.9944398
6,0.33999999999999997,1.4442363
7,0.31,5.0823455
8,0.31,4.453353
9,0.32,5.3820395
10,0.29,1.485244
11,0.31,0.05847311
12,0.3,-0.6208385
13,0.27,1.2053368
14,0.2,-0.53528446
15,0.2,1.8075478
16,0.2,-0.88191473
17,0.2,-0.8155667
18,0.29,1.9437181
19,0.29,2.1344552
20,0.4,14.324265
21,0.39,23.159292
22,0.4,25.28384
23,0.4,18.038473
24,0.42000000000000004,7.239321
25,0.33999999999999997,27.381733
26,0.36,31.822166
27,0.4,69.01491
28,0.47000000000000003,80.01234
29,1.19,91.69499
30,10.129999999999999,12.587973
31,30.34,27.409113
32,43.67,24.587624
33,68.02,15.225398
34,97.67999999999999,13.236416
35,121.11,34.690117
36,178.86,36.35841
37,255.25,74.56899
38,379.02,90.68883
39,582.71,108.45862
40,715.76,470.51596
41,793.31,448.8934
42,805.37,495.35266
43,773.41,574.58624
44,809.98,661.551
45,1000.53,733.32837
46,1208.81,965.76306
47,1259.96,899.43256
48,1330.54,824.03784
49,1355.44,1027.9325
50,1363.48,1188.0132
51,1490.07,1238.6946
52,1497.8,1331.3397
53,1572.1399999999999,1306.8817
54,1621.18,1168.3151
55,1553.32,1224.3463
56,1736.07,1128.2115
57,1659.93,1285.9795
58,1767.15,1284.4294
59,1654.02,1218.247
60,1862.48,1921.7101
61,1816.7,2017.6455
62,1851.65,2108.0593
63,1638.66,2032.7191
64,1914.48,1842.7657
65,1751.92,1845.5012
66,1769.47,1782.8713
67,1764.6,1946.7279
68,1720.21,1915.2471
69,1788.6999999999998,1861.7273
70,1698.04,1999.7891
71,1806.72,2126.0935
72,1619.8,2138.2139
73,1719.1299999999999,1918.0638
74,1549.38,1818.4565
75,1608.09,1675.2089
76,1434.8799999999999,1771.164
77,1551.36,1750.3582
78,1348.93,1798.8223
79,1481.18,1843.3735
80,1357.41,1709.9259
81,1311.32,1750.6879
82,1175.1100000000001,1734.861
83,720.44,1639.5135
84,643.24,1592.3842
85,583.1,1462.7211
86,513.96,1527.4819
87,437.55,1451.3413
88,382.97,1431.0927
89,351.9,1442.8308
90,315.81,655.3089
91,282.75,616.6879
92,248.06,508.02637
93,217.26,545.7983
94,196.82,567.9329
95,172.3,515.60425
96,150.93,444.89468
97,129.58,427.5118
98,106.39,432.36942
99,78.79,381.15045
100,57.27,210.4812
101,41.84,211.69673
102,26.81,183.80124
103,19.23,193.06453
104,15.27,182.8356
105,9.62,168.72229
106,4.1000000000000005,150.97035
107,2.86,164.46323
108,2.75,150.89352
109,2.8200000000000003,138.67627
110,2.8200000000000003,8.540392
111,2.79,6.9817476
112,2.92,5.1468368
113,2.9499999999999997,5.900745
114,2.9699999999999998,7.6200895
115,3.01,6.802503
116,3.01,5.5886354
117,3.04,3.926912
118,3.04,5.330701
119,2.9899999999999998,4.2954025
120,2.9699999999999998,8.001001
121,3.04,12.126943
122,2.98,9.537482
123,3.01,11.014335
124,2.95,7.3199315
125,2.96,8.433774
126,3.08,9.005629
127,2.98,20.728327
128,2.9899999999999998,20.20198
129,2.9699999999999998,20.734009
